Layer,Accuracy,Precision,Recall,F1 Score
0,0.5,0.49134199134199136,0.5,0.48785425101214575
1,0.46875,0.4739583333333333,0.46875,0.4671920821114369
2,0.375,0.367914979757085,0.375,0.37003968253968256
3,0.40625,0.4035218253968254,0.40625,0.40449507389162564
4,0.5,0.5,0.5,0.5
5,0.4375,0.4409313725490196,0.4375,0.4375
6,0.5625,0.5606884057971014,0.5625,0.540625
7,0.4375,0.4425607287449393,0.4375,0.43308823529411766
8,0.65625,0.6555059523809523,0.65625,0.6552339901477833
9,0.78125,0.7938988095238095,0.78125,0.7806085043988269
10,0.78125,0.783203125,0.78125,0.7814638318670577
11,0.625,0.625,0.625,0.625
