Layer,Accuracy,Precision,Recall,F1 Score
0,0.8125,0.8160425101214575,0.8125,0.8110119047619048
1,0.6875,0.7047064777327936,0.6875,0.6850490196078431
2,0.875,0.875,0.875,0.875
3,0.96875,0.970486111111111,0.96875,0.9686576354679803
4,0.96875,0.970486111111111,0.96875,0.9686576354679803
5,0.96875,0.970486111111111,0.96875,0.9686576354679803
6,0.96875,0.970486111111111,0.96875,0.9686576354679803
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,0.96875,0.970703125,0.96875,0.9687805474095796
